Gender,Experience_Years,Education_Level,Technical_Score,Hired
Male,14,Bachelors,89,1
Female,11,Bachelors,47,0
Female,13,Masters,70,0
Female,7,Bachelors,88,0
Male,2,PhD,89,1
Male,7,Masters,51,0
Male,14,Bachelors,69,1
Female,4,Bachelors,46,0
Female,0,Masters,47,0
Female,6,Masters,45,0
Male,4,Bachelors,75,0
Female,5,Bachelors,64,0
Female,5,Masters,81,0
Male,7,Bachelors,40,1
Male,8,PhD,64,1
Male,1,Bachelors,76,1
Male,8,Bachelors,52,0
Male,11,Masters,84,1
Male,14,Bachelors,47,1
Male,10,Bachelors,44,0
Female,9,Bachelors,99,0
Male,8,Bachelors,48,0
Male,12,Masters,45,1
Male,9,Bachelors,75,1
Male,14,Bachelors,74,1
Female,9,Masters,46,0
Male,6,Masters,84,0
Male,0,Bachelors,62,0
Female,6,Bachelors,48,0
Male,9,PhD,83,1
Female,4,Masters,90,0
Male,5,Bachelors,53,1
Male,9,Bachelors,43,0
Female,6,Bachelors,69,0
Female,13,Masters,75,0
Female,14,Masters,82,1
Male,4,Masters,55,0
Male,6,Masters,79,1
Female,8,Masters,52,0
Male,2,Bachelors,42,0
Male,7,Bachelors,53,0
Male,1,Bachelors,99,1
Male,10,Bachelors,52,0
Female,6,Masters,89,0
Male,12,Bachelors,71,1
Female,1,Bachelors,73,0
Male,14,Bachelors,84,1
Male,13,Bachelors,58,0
Male,3,Bachelors,98,0
Male,6,Bachelors,77,0
Female,2,Masters,60,0
Female,1,Bachelors,41,0
Female,10,Masters,84,0
Female,9,Bachelors,56,0
Female,6,Bachelors,94,0
Female,0,Bachelors,73,0
Male,13,Bachelors,81,1
Male,14,Masters,100,1
Male,7,Bachelors,55,1
Male,2,Bachelors,77,0
Male,11,Masters,100,1
Male,11,Bachelors,41,0
Female,12,Bachelors,41,0
Male,1,Masters,70,0
Male,2,Masters,57,0
Male,4,Bachelors,95,1
Male,10,PhD,96,1
Female,7,Masters,75,0
Male,9,Bachelors,99,1
Female,6,Masters,78,0
Female,6,Bachelors,78,0
Male,11,Bachelors,42,1
Male,6,Bachelors,47,0
Female,14,Bachelors,62,0
Female,7,Masters,58,0
Female,0,Bachelors,95,0
Female,3,Masters,99,0
Male,12,Masters,71,1
Male,5,Bachelors,93,1
Male,8,Masters,73,1
Female,12,Bachelors,78,0
Female,1,Bachelors,92,0
Male,0,Masters,83,0
Male,12,Bachelors,40,1
Male,9,Bachelors,56,0
Male,11,Bachelors,80,1
Female,13,Bachelors,69,0
Female,1,Bachelors,92,0
Female,6,Bachelors,52,0
Male,2,PhD,70,0
Male,9,Bachelors,58,0
Female,1,Bachelors,92,0
Female,13,Bachelors,58,0
Female,10,Bachelors,96,1
Female,6,PhD,74,0
Male,12,Masters,66,1
Male,12,Masters,75,1
Male,1,Bachelors,56,0
Male,2,Bachelors,94,0
Male,10,Bachelors,62,1
Male,6,Masters,76,0
Female,13,Bachelors,49,0
Male,3,Bachelors,49,0
Male,12,PhD,85,1
Female,13,Bachelors,47,0
Male,0,Bachelors,93,0
Male,12,Bachelors,91,1
Female,13,PhD,69,0
Male,4,Bachelors,71,0
Male,11,Masters,94,1
Male,8,Masters,58,0
Male,7,Bachelors,89,0
Female,11,Masters,72,0
