Age_Group,Income,Credit_Score,Loan_Amount,Approved
Adult,113732,666,29406,1
Adult,142145,687,6875,1
Senior,109790,668,42066,1
Young,109557,788,41536,0
Senior,141672,728,10752,1
Young,101260,596,26217,0
Adult,58690,515,17489,0
Adult,31407,778,6353,1
Adult,103568,634,31986,1
Senior,88560,525,26371,1
Young,77340,511,44365,0
Young,47794,571,19691,0
Adult,49881,632,9311,1
Adult,116292,605,15794,1
Adult,135698,719,7934,1
Young,124952,676,21406,1
Young,79703,781,15394,1
Young,74354,632,31872,0
Young,121288,521,46708,0
Adult,108462,768,46093,1
Adult,149020,660,25800,1
Senior,129301,606,48397,1
Senior,148764,778,42909,1
Young,44390,734,26352,0
Adult,134403,517,41439,1
Young,117475,741,33312,1
Young,57307,616,45060,0
Adult,126364,785,20438,1
Young,124049,781,28385,1
Young,148740,643,49999,0
Senior,149991,704,23482,1
Adult,54502,538,37471,0
Adult,125599,653,48877,1
Young,52486,675,46212,0
Young,141813,740,18026,1
Senior,68258,633,47089,1
Young,87716,545,24648,0
Adult,127228,549,10435,1
Young,133920,665,13493,1
Adult,111494,605,11691,1
Young,130552,715,7763,1
Senior,112768,645,25389,1
Senior,40748,571,36498,0
Adult,92785,829,41009,1
Young,106050,772,40825,0
Senior,52738,746,21934,1
Adult,104231,685,10574,1
Adult,103606,569,43179,0
Adult,123301,649,6587,1
Young,71662,745,47782,0
Young,148313,761,43688,1
Adult,126297,525,16688,1
Young,112234,639,9409,1
Adult,45123,598,10783,1
Adult,130680,777,38480,1
Senior,55616,550,31751,0
Senior,132682,650,43174,1
Senior,41182,603,17041,0
Young,120369,588,28227,0
Young,128878,640,40201,0
Adult,92013,712,41069,1
Young,61331,732,21654,0
Young,76098,682,31370,0
Adult,56128,750,34482,1
Adult,61556,508,16586,0
Senior,117505,578,10322,1
Young,51876,551,18932,0
Young,38949,768,34299,0
Young,81962,725,30179,0
Senior,120054,550,10257,1
Adult,101206,685,14777,1
Senior,54099,533,16249,0
Senior,134871,790,26390,1
Adult,42716,729,25369,1
Adult,82611,630,17881,1
Adult,68885,619,14587,1
Adult,83144,825,33264,1
Adult,95220,746,13791,1
Adult,37837,691,46473,0
Senior,79355,822,27375,1
Senior,77299,709,27611,1
Adult,49159,602,47026,0
Adult,146680,828,12833,1
Adult,146931,632,20754,1
Young,136802,822,47048,1
Young,146375,638,17577,1
Adult,132413,620,36095,1
Adult,81012,593,26248,1
Young,89305,628,40282,0
Senior,117096,590,41737,1
Young,47106,591,36891,0
Young,88123,562,29124,0
Adult,141825,528,9566,1
Young,38720,709,7196,0
Young,67661,511,36115,0
Adult,145031,832,24859,1
Adult,123898,796,16345,1
Adult,123794,629,39077,1
Adult,117318,792,5864,1
Adult,136704,672,17055,1
Young,51120,707,43157,0
Senior,49790,523,24747,0
Young,88655,598,49484,0
Senior,89643,638,16978,1
Adult,123448,813,29599,1
Senior,77374,673,40771,1
Young,72907,528,22615,0
Adult,80071,642,45727,1
Young,64812,815,49748,0
Young,79570,541,44349,0
Adult,80901,798,34377,1
Young,90186,707,35031,0
Adult,80251,829,47733,1
Young,95171,691,16760,0
Adult,66160,659,38714,0
Adult,49156,563,30762,0
Adult,106208,742,39332,1
Adult,109980,757,45100,1
Adult,102320,651,9944,1
Senior,47929,714,18877,1
Adult,96606,821,34990,1
Adult,118442,665,47907,1
Senior,130154,530,39076,0
Adult,92559,731,8258,1
Adult,84205,781,36629,1
Adult,140694,528,42579,1
Adult,98475,694,27958,1
Adult,94341,833,44465,1
Young,125377,755,25317,1
Young,72863,780,20775,0
Senior,111837,803,16039,1
Young,95439,820,34097,0
Adult,37194,822,39207,0
Adult,101387,845,27553,1
Adult,111914,793,49402,1
Young,96214,586,5055,1
Young,126176,648,28161,0
Senior,129292,748,37873,1
Senior,59777,820,40969,0
Adult,56183,782,20184,1
Adult,57445,697,5669,1
Adult,97038,543,17663,1
Adult,146477,527,30318,1
Adult,117201,516,38734,1
Young,46198,626,21691,0
Adult,51411,667,23522,1
Adult,80577,743,16656,1
Senior,45867,575,20893,0
Young,92501,730,21493,0
Adult,44266,703,8632,1
Adult,69422,747,35336,1
Adult,65208,801,28112,1
Young,138538,713,43452,1
Adult,61213,714,18266,1
Adult,37367,657,21940,0
Adult,109026,568,29003,1
Adult,65362,584,37872,1
Adult,149377,766,39815,1
Adult,81588,568,35869,1
Senior,68285,598,22257,1
Adult,104755,846,21682,1
Young,101846,715,24622,1
Adult,66307,660,35408,0
Young,125167,593,13837,1
Adult,110280,673,20407,1
Young,49867,664,34309,0
Young,86523,614,11382,1
Senior,114161,719,32654,1
Young,36378,530,23895,0
Adult,114685,510,38551,1
Young,137669,842,26376,1
Adult,106958,629,5370,1
Adult,57926,604,5486,1
Adult,133215,526,28762,1
Adult,128707,726,31613,1
Young,43180,501,8196,0
Adult,122837,600,47320,1
Young,148070,520,34401,0
Adult,66931,557,40029,0
Adult,54014,679,15813,1
Senior,144775,840,46916,1
Young,126472,848,13572,1
Adult,109872,519,33225,1
Young,88502,754,37275,0
Adult,117736,816,11843,1
Adult,35470,537,6105,0
Senior,126395,647,48209,1
Young,44953,524,36639,0
Young,134580,620,47487,1
Adult,68507,525,23051,0
Young,148961,668,33708,0
Young,122969,822,40459,1
Adult,121493,724,16864,1
Young,36523,500,39764,0
Young,116923,806,6425,1
Adult,87190,760,11849,1
Adult,77761,512,41015,0
Young,61169,547,23976,0
Young,75641,812,39258,0
Adult,52990,790,36113,1
Young,59661,831,20401,0
Adult,43419,593,17884,0
Young,44457,760,23824,0
Adult,97600,777,42563,1
Adult,133619,704,39414,1
Adult,106102,684,21142,1
Senior,63085,674,10956,1
Adult,127064,808,18928,1
Young,80654,568,14721,0
Young,36130,603,16157,0
Adult,135723,745,40135,1
Young,32042,660,11696,0
Young,100134,699,32862,0
Adult,72982,715,10190,1
Adult,128422,711,9663,1
Adult,95185,515,44830,1
Adult,63477,831,9331,1
Adult,144161,704,49648,1
Young,82709,538,33549,0
Senior,58716,588,21246,0
Young,108137,755,30761,1
Adult,66018,753,8262,1
Adult,38061,715,12036,1
Adult,38609,802,27322,1
Adult,65371,671,24131,1
Young,140350,636,9677,1
Adult,113021,677,12972,1
Adult,50805,576,20329,1
Adult,37857,687,42032,0
Senior,41620,514,40901,0
Adult,38177,791,49380,0
Young,60111,818,25493,0
Young,118578,824,23595,1
Adult,114181,713,26923,1
Adult,119941,707,14735,1
Adult,41826,668,39457,0
Adult,43890,829,47531,0
Senior,112428,779,12727,1
Senior,147067,804,12764,1
Senior,88031,645,32599,1
Young,149440,762,5818,1
Adult,142134,503,42289,1
Young,105020,589,38892,0
Young,35495,559,10660,0
Adult,58481,810,34521,1
Adult,41267,515,43409,0
Young,147897,726,39470,0
Young,135702,528,23385,1
Young,36743,650,28296,0
Senior,84800,744,28616,1
Young,133475,769,31382,1
Young,78773,578,16139,0
Adult,87042,788,37060,1
Adult,79476,652,27419,1
Senior,122105,776,32785,1
Young,58552,778,20702,0
Adult,95242,556,34217,1
Adult,75772,685,44291,1
Senior,73730,592,17397,1
Adult,58948,775,45879,1
Senior,106311,657,40169,1
Young,99093,774,31940,0
Adult,99123,680,47249,1
Adult,46535,576,33341,0
Senior,96490,650,15067,1
Young,76562,737,18824,0
Young,149042,788,18444,1
Adult,119080,730,38307,1
Young,88535,517,15974,0
Young,128991,572,43383,1
Senior,71269,688,34290,1
Adult,110674,516,21016,1
Adult,72462,518,37112,1
Adult,33127,718,33513,1
Adult,53147,825,7956,1
Young,75528,619,13077,0
Young,107095,600,41490,0
Adult,143100,533,49827,1
Adult,98931,583,42855,1
Adult,120925,695,48106,1
Young,96381,829,39938,1
Adult,129468,701,41159,1
Senior,141258,843,44710,1
Senior,93749,840,23000,1
Senior,68672,510,18806,1
Adult,43731,846,17809,1
Adult,84512,717,19855,1
Adult,128658,752,46876,1
Young,81024,721,34388,1
Adult,146712,579,11458,1
Adult,131121,506,40524,1
Young,33832,771,11853,0
Adult,62332,726,45477,1
Senior,42467,515,37222,0
Young,71025,511,23320,0
Senior,43107,790,33618,0
Young,107994,740,22352,1
Adult,124202,520,12297,1
Adult,73481,677,32940,1
Adult,32581,727,8203,1
Senior,105118,772,44267,1
Senior,81638,787,42941,1
Adult,38418,796,22273,1
Young,123627,633,30368,1
Senior,59113,782,16650,1
Young,114363,652,35984,1
Senior,93044,565,46941,0
Adult,109955,636,12382,1
Young,91030,591,5801,0
Adult,41814,816,46002,0
Young,129340,758,24733,1
Young,40024,602,14969,0
Adult,93288,554,40969,0
Young,139236,756,21733,1
Young,87836,600,37449,0
Young,37435,697,31143,0
Adult,97084,800,30705,1
Young,100601,725,33363,0
Adult,118416,736,35720,1
Young,148645,525,14972,1
Senior,33407,620,38351,0
Senior,128943,681,41145,1
Young,62940,698,27412,0
Adult,35666,801,29078,1
Senior,67122,754,27580,1
Senior,148647,621,19855,1
Adult,55092,530,41169,0
Young,105645,814,24569,1
Adult,131190,784,30738,1
Adult,130468,605,11772,1
Adult,56505,723,29874,1
Adult,66713,772,24731,1
Senior,84387,731,15131,1
Senior,73169,755,5788,1
Young,103282,523,21184,0
Young,107511,608,35897,0
Young,81742,690,7889,0
Senior,70522,846,14569,1
Adult,111132,524,26657,1
Adult,149622,686,15141,1
Adult,148764,787,24656,1
Adult,133489,615,26618,1
Adult,129397,837,16934,1
Adult,33880,536,47537,0
Adult,73454,781,28286,1
Senior,85711,636,12612,1
Senior,73539,726,37069,1
Senior,138984,819,21205,1
Adult,98321,827,32331,1
Adult,117985,681,18934,1
Adult,44799,585,15095,0
Senior,144584,552,30958,1
Young,134843,847,42008,1
Adult,90102,734,23706,1
Young,80726,766,48516,0
Adult,78784,786,43066,1
Adult,143034,599,36472,1
Adult,73333,586,39629,0
Young,70828,514,28004,0
Adult,99526,600,25431,1
Senior,84362,664,45088,0
Young,83997,528,49135,0
Adult,80341,613,43015,0
Adult,49073,606,39502,0
Senior,132399,629,36385,1
Young,44549,583,9663,0
Senior,113795,770,43677,1
Adult,86920,743,17818,1
Senior,115326,713,27686,1
Senior,105515,805,28977,1
Young,50316,665,45931,0
Young,56183,778,23454,1
Young,123860,558,18358,0
Adult,54624,589,11668,0
Young,92515,830,45769,1
Young,133712,693,14921,1
Adult,115781,622,39959,1
Young,76705,635,37328,0
Young,119326,638,13859,1
Adult,56756,728,28970,1
Young,90390,773,13872,1
Adult,98369,549,24230,1
Adult,100821,617,31708,1
Adult,39589,701,23847,1
Senior,143012,690,32105,1
Adult,44116,822,9922,1
Adult,103181,680,9392,1
Adult,74786,577,18541,1
Senior,124686,574,24551,1
Senior,106425,794,24381,1
Senior,60286,780,40995,0
Adult,133081,520,27948,1
Young,45994,670,31728,0
Young,131039,514,7024,1
Young,141915,710,21713,1
Senior,120198,547,7486,1
Adult,134672,585,6155,1
Adult,56639,648,15082,1
Adult,47205,687,42245,1
Senior,86677,805,23569,1
Young,62930,650,12086,0
Young,103313,640,7317,1
Adult,123851,568,41389,1
Adult,143153,759,9491,1
Adult,122509,833,20916,1
Senior,48316,508,20248,0
Young,57304,620,7511,0
Adult,131839,600,29226,1
Adult,126058,648,30025,1
Young,117876,645,47314,0
Senior,115366,742,12848,1
Adult,43403,740,19274,1
Adult,110052,836,35958,1
Senior,147478,542,40233,1
Adult,114627,594,21304,1
Young,103495,725,16294,0
Adult,61932,505,31425,0
Adult,126090,713,8175,1
Young,66701,705,45617,0
Young,33385,566,32775,0
Adult,129226,599,14425,1
Adult,87241,511,31013,1
Young,40367,736,32928,0
Adult,95030,821,49990,1
Senior,76505,757,46212,1
Young,63332,836,13210,1
Young,115178,634,7759,1
Adult,106325,721,21091,1
Young,65268,655,5002,1
Adult,116486,641,45958,1
Young,55563,657,35160,0
Adult,135185,825,25707,1
Adult,66404,843,20248,1
Adult,85182,761,10773,1
Senior,62991,782,17786,1
Senior,134601,837,20037,1
Adult,77663,843,6885,1
Adult,95886,728,44828,1
Young,113848,779,21331,1
Adult,54127,789,45612,1
Young,87692,667,27495,0
Senior,124389,546,18450,1
Adult,67500,702,14491,1
Adult,63785,713,14268,1
Young,114146,745,32757,0
Adult,119126,523,46907,1
Senior,124979,820,11791,1
Adult,77997,773,44939,1
Senior,37170,543,33314,0
