experiment_id,execution_mode,dataset,model,mitigation,seed,is_synthetic_benchmark,baseline_accuracy,mitigated_accuracy,delta_accuracy,baseline_f1,mitigated_f1,delta_f1,baseline_roc_auc,mitigated_roc_auc,baseline_dpd,mitigated_dpd,delta_dpd,baseline_eod,mitigated_eod,delta_eod,baseline_di,mitigated_di,cosine_similarity,spearman_rank_correlation,l1_attribution_difference,l2_attribution_difference
adult__logistic_regression__correlation_remover__seed123__c9a87169,FINAL_EMPIRICAL_RUN,adult,logistic_regression,correlation_remover,123,False,0.8498,0.8437,-0.0061,0.651,0.624,-0.027,0.9041,0.8797,0.1895,0.1073,-0.0822,0.1326,0.1148,-0.0178,0.2531,0.4938,0.924666,0.953172,0.039078,0.614866
adult__logistic_regression__correlation_remover__seed42__3e772ca6,FINAL_EMPIRICAL_RUN,adult,logistic_regression,correlation_remover,42,False,0.8537,0.8488,-0.0049,0.6618,0.6358,-0.026,0.9058,0.8866,0.177,0.0829,-0.0941,0.1086,0.1638,0.0552,0.2955,0.5917,0.972741,0.914153,0.034803,0.473389
adult__logistic_regression__correlation_remover__seed456__b33525c4,FINAL_EMPIRICAL_RUN,adult,logistic_regression,correlation_remover,456,False,0.8449,0.8399,-0.005,0.6433,0.6193,-0.024,0.9041,0.8815,0.1834,0.0981,-0.0853,0.1142,0.0921,-0.0221,0.2862,0.5416,0.912942,0.910897,0.036297,0.524493
adult__logistic_regression__threshold_optimizer__seed123__021be82b,FINAL_EMPIRICAL_RUN,adult,logistic_regression,threshold_optimizer,123,False,0.8498,0.8363,-0.0135,0.651,0.5961,-0.0549,0.9041,,0.1895,0.0205,-0.169,0.1326,0.3201,0.1875,0.2531,0.8811,1.0,1.0,0.0,0.0
adult__logistic_regression__threshold_optimizer__seed42__adca6fc8,FINAL_EMPIRICAL_RUN,adult,logistic_regression,threshold_optimizer,42,False,0.8537,0.8374,-0.0163,0.6618,0.5708,-0.091,0.9058,,0.177,0.0,-0.177,0.1086,0.3239,0.2153,0.2955,1.0001,1.0,1.0,0.0,0.0
adult__logistic_regression__threshold_optimizer__seed456__90c16eda,FINAL_EMPIRICAL_RUN,adult,logistic_regression,threshold_optimizer,456,False,0.8449,0.8308,-0.0141,0.6433,0.585,-0.0583,0.9041,,0.1834,0.0013,-0.1821,0.1142,0.315,0.2008,0.2862,0.9923,1.0,1.0,0.0,0.0
adult__random_forest__correlation_remover__seed123__817dbb0b,FINAL_EMPIRICAL_RUN,adult,random_forest,correlation_remover,123,False,0.8604,0.8592,-0.0012,0.6522,0.6515,-0.0007,0.9119,0.9109,0.1571,0.1606,0.0035,0.1058,0.1159,0.0101,0.2666,0.2623,0.992799,0.87232,0.001019,0.014812
adult__random_forest__correlation_remover__seed42__96b67712,FINAL_EMPIRICAL_RUN,adult,random_forest,correlation_remover,42,False,0.8625,0.8637,0.0012,0.6632,0.6653,0.0021,0.9139,0.9127,0.1538,0.1508,-0.003,0.0826,0.0773,-0.0053,0.2987,0.3068,0.972562,0.846236,0.001915,0.031443
adult__random_forest__correlation_remover__seed456__03e61eb0,FINAL_EMPIRICAL_RUN,adult,random_forest,correlation_remover,456,False,0.8568,0.856,-0.0008,0.6486,0.6467,-0.0019,0.9119,0.9124,0.1626,0.1547,-0.0079,0.1273,0.0953,-0.032,0.2699,0.2979,0.979023,0.847737,0.001451,0.021192
adult__random_forest__threshold_optimizer__seed123__f2260c85,FINAL_EMPIRICAL_RUN,adult,random_forest,threshold_optimizer,123,False,0.8604,0.8447,-0.0157,0.6522,0.6121,-0.0401,0.9119,,0.1571,0.0146,-0.1425,0.1058,0.2975,0.1917,0.2666,0.9122,1.0,1.0,0.0,0.0
adult__random_forest__threshold_optimizer__seed42__c3711d22,FINAL_EMPIRICAL_RUN,adult,random_forest,threshold_optimizer,42,False,0.8625,0.8487,-0.0138,0.6632,0.6243,-0.0389,0.9139,,0.1538,0.0041,-0.1497,0.0826,0.3033,0.2207,0.2987,0.9753,1.0,1.0,0.0,0.0
adult__random_forest__threshold_optimizer__seed456__96b73ae1,FINAL_EMPIRICAL_RUN,adult,random_forest,threshold_optimizer,456,False,0.8568,0.8384,-0.0184,0.6486,0.5817,-0.0669,0.9119,,0.1626,0.0032,-0.1594,0.1273,0.3047,0.1774,0.2699,0.9782,1.0,1.0,0.0,0.0
compas__logistic_regression__correlation_remover__seed123__551690cc,FINAL_EMPIRICAL_RUN,compas,logistic_regression,correlation_remover,123,False,0.6856,0.6847,-0.0009,0.6483,0.6431,-0.0052,0.748,0.7274,0.3617,0.0938,-0.2679,0.3786,0.176,-0.2026,2.7543,0.8001,0.999209,0.880952,0.011669,0.045625
