dataset,model,mitigation,execution_mode,is_synthetic_benchmark,baseline_accuracy_mean,baseline_accuracy_std,baseline_accuracy_count,mitigated_accuracy_mean,mitigated_accuracy_std,mitigated_accuracy_count,delta_accuracy_mean,delta_accuracy_std,delta_accuracy_count,baseline_f1_mean,baseline_f1_std,baseline_f1_count,mitigated_f1_mean,mitigated_f1_std,mitigated_f1_count,delta_f1_mean,delta_f1_std,delta_f1_count,baseline_roc_auc_mean,baseline_roc_auc_std,baseline_roc_auc_count,mitigated_roc_auc_mean,mitigated_roc_auc_std,mitigated_roc_auc_count,baseline_dpd_mean,baseline_dpd_std,baseline_dpd_count,mitigated_dpd_mean,mitigated_dpd_std,mitigated_dpd_count,delta_dpd_mean,delta_dpd_std,delta_dpd_count,baseline_eod_mean,baseline_eod_std,baseline_eod_count,mitigated_eod_mean,mitigated_eod_std,mitigated_eod_count,delta_eod_mean,delta_eod_std,delta_eod_count,baseline_di_mean,baseline_di_std,baseline_di_count,mitigated_di_mean,mitigated_di_std,mitigated_di_count,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_count,spearman_rank_correlation_mean,spearman_rank_correlation_std,spearman_rank_correlation_count,l1_attribution_difference_mean,l1_attribution_difference_std,l1_attribution_difference_count,l2_attribution_difference_mean,l2_attribution_difference_std,l2_attribution_difference_count
adult,logistic_regression,correlation_remover,FINAL_EMPIRICAL_RUN,False,0.8494666666666667,0.004409459528483462,3,0.8441333333333333,0.004465795935030319,3,-0.005333333333333333,0.0006658328118479392,3,0.6520333333333334,0.009293187468965314,3,0.6263666666666666,0.008500784277543673,3,-0.025666666666666667,0.0015275252316519466,3,0.9046666666666666,0.000981495457622392,3,0.8826,0.003579106033634661,3,0.18330000000000002,0.00625059997120277,3,0.0961,0.012322337440599494,3,-0.0872,0.006173329733620261,3,0.11846666666666666,0.012556007858126455,3,0.12356666666666667,0.03664509971787951,3,0.0051,0.04344110956225681,3,0.27826666666666666,0.022285496030677292,3,0.5423666666666667,0.048954502687018786,3,0.936783,0.03168747965679816,3,0.926074,0.023523957723988614,3,0.036726,0.0021695476487046794,3,0.5375826666666667,0.07164104907337226,3
adult,logistic_regression,threshold_optimizer,FINAL_EMPIRICAL_RUN,False,0.8494666666666667,0.004409459528483462,3,0.8348333333333334,0.003536005279030824,3,-0.014633333333333332,0.0014742229591663979,3,0.6520333333333334,0.009293187468965314,3,0.5839666666666666,0.012681613987712047,3,-0.06806666666666666,0.01993347268624645,3,0.9046666666666666,0.000981495457622392,3,,,0,0.18330000000000002,0.00625059997120277,3,0.007266666666666667,0.011478821077677503,3,-0.17603333333333335,0.006603282012252203,3,0.11846666666666666,0.012556007858126455,3,0.3196666666666667,0.004465795935030322,3,0.20120000000000002,0.013904315876734097,3,0.27826666666666666,0.022285496030677292,3,0.9578333333333333,0.06656735936878773,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
adult,random_forest,correlation_remover,FINAL_EMPIRICAL_RUN,False,0.8599,0.0028827070610799215,3,0.8596333333333334,0.0038682468035705245,3,-0.0002666666666666667,0.0012858201014657273,3,0.6546666666666666,0.007606137872358985,3,0.6545,0.009656086163658623,3,-0.00016666666666666674,0.0020526405757787533,3,0.9125666666666667,0.0011547005383792605,3,0.9119999999999999,0.0009643650760992958,3,0.15783333333333333,0.004445597072760121,3,0.15536666666666665,0.004933896364267639,3,-0.002466666666666667,0.005718682832028136,3,0.10523333333333333,0.022355387121079637,3,0.09616666666666666,0.019314588614136555,3,-0.009066666666666667,0.021301251919390404,3,0.2784,0.017657576277620903,3,0.289,0.02354718666847489,3,0.9814613333333333,0.01033649574727014,3,0.8554309999999999,0.014645545090572762,3,0.0014616666666666667,0.00044809522797429274,3,0.02248233333333333,0.00839024793038521,3
adult,random_forest,threshold_optimizer,FINAL_EMPIRICAL_RUN,False,0.8599,0.0028827070610799215,3,0.8439333333333333,0.005192622972384289,3,-0.015966666666666667,0.0023115651263447743,3,0.6546666666666666,0.007606137872358985,3,0.6060333333333333,0.021938398604577608,3,-0.048633333333333334,0.015830771722608265,3,0.9125666666666667,0.0011547005383792605,3,,,0,0.15783333333333333,0.004445597072760121,3,0.0073,0.00633798075099633,3,-0.15053333333333332,0.00848076254433133,3,0.10523333333333333,0.022355387121079637,3,0.30183333333333334,0.0038175035472587954,3,0.1966,0.022061958208645035,3,0.2784,0.017657576277620903,3,0.9552333333333333,0.03729615708532625,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
compas,logistic_regression,correlation_remover,FINAL_EMPIRICAL_RUN,False,0.6770666666666667,0.007406978691297369,3,0.6531,0.027767066823847237,3,-0.023966666666666664,0.02041306771000707,3,0.6393,0.01047616341987847,3,0.6064333333333334,0.03194656997759436,3,-0.03286666666666666,0.024214320831552005,3,0.7254999999999999,0.020180436070610586,3,0.7073333333333333,0.018139551629886896,3,0.33759999999999996,0.04401329344641232,3,0.09463333333333333,0.023760962382305423,3,-0.24296666666666666,0.026291697041715172,3,0.3561,0.022351510016104043,3,0.1627333333333333,0.024025264479987162,3,-0.1933666666666667,0.03303245878425239,3,2.5269,0.2612080205506716,3,0.7993666666666668,0.03720542075199974,3,0.9988546666666668,0.0012390981935800959,3,0.8492063333333334,0.03636939378561773,3,0.01001,0.0034462685617925944,3,0.03988666666666667,0.01252461034656701,3
compas,logistic_regression,threshold_optimizer,FINAL_EMPIRICAL_RUN,False,0.6770666666666667,0.007406978691297369,3,0.6644666666666666,0.01507625063911226,3,-0.0126,0.007673982017179867,3,0.6393,0.01047616341987847,3,0.6327666666666666,0.033107149278265184,3,-0.006533333333333333,0.025071564237863844,3,0.7254999999999999,0.020180436070610586,3,,,0,0.33759999999999996,0.04401329344641232,3,0.02613333333333333,0.008111925377697535,3,-0.31146666666666667,0.040749151320405824,3,0.3561,0.022351510016104043,3,0.0698,0.04794496845342585,3,-0.2863,0.026953849446785888,3,2.5269,0.2612080205506716,3,1.0121,0.06999799997142774,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
compas,random_forest,correlation_remover,FINAL_EMPIRICAL_RUN,False,0.6489666666666667,0.007678758580221985,3,0.6461333333333333,0.00795131016457871,3,-0.0028333333333333335,0.0025324559884296774,3,0.6137666666666667,0.013316656236958805,3,0.6091666666666666,0.013531568029364996,3,-0.0046,0.005076416058598822,3,0.6897666666666668,0.02238801762848452,3,0.6928666666666666,0.020500081300651868,3,0.2522,0.03287202458018067,3,0.24653333333333335,0.03770468582727261,3,-0.005666666666666667,0.009988660237155599,3,0.27616666666666667,0.06253065914680042,3,0.27276666666666666,0.06897871652425361,3,-0.0034,0.014171450172794597,3,1.8831666666666667,0.14474585774153728,3,1.8662333333333334,0.18051704443994576,3,0.933869,0.03017850836274051,3,0.7265600000000001,0.28701393671562364,3,0.016634,0.003220629286335203,3,0.07116133333333334,0.016361994876338683,3
compas,random_forest,threshold_optimizer,FINAL_EMPIRICAL_RUN,False,0.6489666666666667,0.007678758580221985,3,0.6395,0.0134257215820975,3,-0.009466666666666667,0.006524058041842772,3,0.6137666666666667,0.013316656236958805,3,0.5776666666666667,0.01419870886148928,3,-0.0361,0.006250599971202763,3,0.6897666666666668,0.02238801762848452,3,,,0,0.2522,0.03287202458018067,3,0.026766666666666664,0.020976256418468318,3,-0.22543333333333335,0.017918240240976047,3,0.27616666666666667,0.06253065914680042,3,0.06696666666666666,0.026600062656567808,3,-0.20920000000000002,0.05615006678535656,3,1.8831666666666667,0.14474585774153728,3,1.0747333333333333,0.05919496037107673,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
german,logistic_regression,correlation_remover,FINAL_EMPIRICAL_RUN,False,0.7316666666666666,0.007637626158259752,3,0.7433333333333333,0.014433756729740706,3,0.011666666666666667,0.01755942292142123,3,0.8196333333333333,0.007783529619223728,3,0.8291333333333334,0.011777237933120435,3,0.0095,0.012667675398430448,3,0.7698333333333333,0.008168435182660885,3,0.7561666666666667,0.0012013880860626503,3,0.13516666666666666,0.13673658374163564,3,0.09803333333333335,0.025632271326071234,3,-0.03713333333333334,0.11539260519345827,3,0.20896666666666666,0.09481531170298041,3,0.33303333333333335,0.0392038688567,3,0.12406666666666666,0.1238026386363931,3,0.8359,0.16104480742948532,3,1.1251666666666666,0.0348646430260419,3,0.9971556666666667,0.00400601302211231,3,0.969591,0.03553799447070698,3,0.006590666666666666,0.0041399151360062125,3,0.05530733333333334,0.04352683696678789,3
german,logistic_regression,threshold_optimizer,FINAL_EMPIRICAL_RUN,False,0.7316666666666666,0.007637626158259752,3,0.7366666666666667,0.02020725942163696,3,0.005,0.01802775637731995,3,0.8196333333333333,0.007783529619223728,3,0.8260333333333333,0.01260211622440189,3,0.0063999999999999994,0.009535722311393092,3,0.7698333333333333,0.008168435182660885,3,,,0,0.13516666666666666,0.13673658374163564,3,0.058133333333333335,0.017848342593454816,3,-0.07703333333333333,0.15102755819165364,3,0.20896666666666666,0.09481531170298041,3,0.22353333333333333,0.12504376567159728,3,0.014566666666666664,0.15899221154928733,3,0.8359,0.16104480742948532,3,1.0089,0.08850982996255276,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
